fecha;PM2,5;PM10;SO2;NO2;NOX;NO;CO;O3;Radiación Global;Presión Atmosférica;Precipitaciones;H(%);T°;Dirección del Viento;Velocidad del Viento;nombre_estacion;rango;ica;episodio;temperatura;humedad;presion;viento
2019/05/02 22:00:00.000;14;23;;;;;;;0;994.2;0;0.8;15.2;295;0.1;Ñielol            ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;16;100;1005;14.8
2019/05/02 22:00:00.000;44;43;;8.1;14.3;;0.6;;;997;0;100;15.2;90;0;Padre Las Casas II;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;16;100;1005;14.8
2019/05/02 22:00:00.000;39;86;;;;;5.3;;;999.9;0;100;14.6;138.2;0.1;Las Encinas       ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;16;100;1005;14.8
2019/05/02 23:00:00.000;27;40;;;;;;;0;994.3;0.1;0.8;15.4;192.5;0.1;Ñielol            ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;16;100;1006;16.7
2019/05/02 23:00:00.000;51;51;;6.8;12.7;;0.7;;;997;0;100;15.1;244.7;0;Padre Las Casas II;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;16;100;1006;16.7
2019/05/02 23:00:00.000;31;52;;;;;5.4;;;999.8;0.1;100;14.7;250.6;0.3;Las Encinas       ;(MP2.5 110 – 169 µg/m³)                                                                             ;;regular                                                                                                                                               ;16;100;1006;16.7
2019/05/03 00:00:00.000;13;23;;;;;;;0;994.1;0;0.8;15.3;217.2;0.1;Ñielol            ;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;16;100;1007;13
2019/05/03 00:00:00.000;39;39;;6.5;11.9;;0.6;;;997;0;100;14.9;320.1;0;Padre Las Casas II;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;16;100;1007;13
2019/05/03 00:00:00.000;17;26;;;;;5.2;;;999.7;0;100;14.4;295.1;0.1;Las Encinas       ;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;16;100;1007;13
2019/05/03 01:00:00.000;9;16;;;;;;;0;995;0.1;0.8;15.3;12.6;0.3;Ñielol            ;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;16;93.8;1007;9.3
2019/05/03 01:00:00.000;14;18;;4.1;8.4;;0.2;;;997;0;99.6;14.8;348.6;0.9;Padre Las Casas II;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;16;93.8;1007;9.3
2019/05/03 01:00:00.000;4;4;;;;;4.4;;;1000;0;100;14.4;349.6;2.3;Las Encinas       ;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;16;93.8;1007;9.3
2019/05/03 02:00:00.000;4;8;;;;;;;0;995;0.1;0.8;15.1;54.2;0.1;Ñielol            ;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;15;100;1007;5.6
2019/05/03 02:00:00.000;8;4;;1.9;5.6;;0.1;;;997;0;99.4;14.8;353;1.5;Padre Las Casas II;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;15;100;1007;5.6
2019/05/03 02:00:00.000;3;4;;;;;2.9;;;1000;0.1;100;14.2;350.4;2.4;Las Encinas       ;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;15;100;1007;5.6
2019/05/03 03:00:00.000;1;4;;;;;;;0;995;0.1;0.8;15;159.8;0.1;Ñielol            ;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;15;100;1007;3.7
2019/05/03 03:00:00.000;4;8;;1.7;5.2;;0.1;;;997;0;98.2;14.5;359.5;1.8;Padre Las Casas II;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;15;100;1007;3.7
2019/05/03 03:00:00.000;2;2;;;;;2.3;;;1000;0.1;100;13.9;350.9;3.4;Las Encinas       ;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;15;100;1007;3.7
2019/05/03 04:00:00.000;1;1;;;;;;;0;995;0.1;0.8;14.8;151.4;0.4;Ñielol            ;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;15;100;1007;3.7
2019/05/03 04:00:00.000;2;11;;1.6;5;;0.1;;;997;0;96.6;14.5;347.5;2.7;Padre Las Casas II;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;15;100;1007;3.7
2019/05/03 04:00:00.000;2;1;;;;;1.6;;;1000;0.1;100;13.8;347.2;3.7;Las Encinas       ;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;15;100;1007;3.7
2019/05/03 05:00:00.000;1;8;;;;;;;0;995;0;0.8;14.5;292.1;0.5;Ñielol            ;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;15;100;1007;5.6
2019/05/03 05:00:00.000;3;6;;1.7;4.9;;0.1;;;998;0;93.9;14.4;355.7;1.4;Padre Las Casas II;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;15;100;1007;5.6
2019/05/03 05:00:00.000;3;2;;;;;1.5;;;1000;0.1;100;13.7;354.4;3;Las Encinas       ;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;15;100;1007;5.6
2019/05/03 06:00:00.000;1;9;;;;;;;0;995.3;0.1;0.8;14.4;331;0.3;Ñielol            ;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;15;100;1007;5.6
2019/05/03 06:00:00.000;1;6;;3.3;7.7;;0.1;;;998;0;93.9;14.3;15.1;1.1;Padre Las Casas II;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;15;100;1007;5.6
2019/05/03 06:00:00.000;3;3;;;;;1.7;;;1000.1;0.1;100;13.7;357.7;2.2;Las Encinas       ;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;15;100;1007;5.6
2019/05/03 07:00:00.000;;11;;;;;;;0;995.8;0.3;0.8;14.4;74.2;1.1;Ñielol            ;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;15;100;1007;13
2019/05/03 07:00:00.000;8;16;;9.6;17.6;;0.1;;;998;0;96.6;14.1;35.3;2.5;Padre Las Casas II;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;15;100;1007;13
2019/05/03 07:00:00.000;3;4;;;;;2.4;;;1000.9;0.3;100;13.4;43.1;0.7;Las Encinas       ;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;15;100;1007;13
2019/05/03 08:00:00.000;;11;;;;;;;21.2;996;0.1;0.8;14.5;73;2.1;Ñielol            ;(MP2.5 0 – 50 µg/m³)                                                                                ;;bueno                                                                                                                                                 ;15;93.7;1007;11.1
